author_id,name,role,profile_url,average_rating,rating_count,text_review_count,record_create_timestamp
874602,Ursula K. Le Guin,,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,4.05,929234,54339,2020-02-19 21:38:16.690535
7410834,Jennifer Rayes,,https://www.goodreads.com/author/show/7410834.Jennifer_Rayes,4.14,498,323,2020-02-19 21:38:17.861647
15149526,Trevor Noah,,https://www.goodreads.com/author/show/15149526.Trevor_Noah,4.46,286311,29041,2020-02-19 21:38:18.791891
19490084,Isla Olsen,,https://www.goodreads.com/author/show/19490084.Isla_Olsen,4.17,269,96,2020-02-19 21:38:19.719609
15139149,Á Lạp,,https://www.goodreads.com/author/show/15139149._L_p,4.57,7,2,2020-02-19 21:38:20.625107
1124669,Kao Kalia Yang,,https://www.goodreads.com/author/show/1124669.Kao_Kalia_Yang,4.20,7659,1260,2020-02-19 21:38:21.532605
6534710,Eden Summers,,https://www.goodreads.com/author/show/6534710.Eden_Summers,4.08,23133,3739,2020-02-19 21:38:22.494633
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:38:23.372978
8442873,Ammar Habib,,https://www.goodreads.com/author/show/8442873.Ammar_Habib,4.22,14398,2069,2020-02-19 21:38:24.295568
15755726,Chu Đình Tới,,https://www.goodreads.com/author/show/15755726.Chu_nh_T_i,4.11,122,33,2020-02-19 21:38:25.203875
15292,Rachel Caine,,https://www.goodreads.com/author/show/15292.Rachel_Caine,4.09,1004549,55658,2020-02-19 21:38:26.150917
9599,Paul Theroux,,https://www.goodreads.com/author/show/9599.Paul_Theroux,3.82,118273,9317,2020-02-19 21:38:27.114669
18064393,Sue Rainsford,,https://www.goodreads.com/author/show/18064393.Sue_Rainsford,3.78,993,310,2020-02-19 21:38:28.035749
19705698,Anne R. Boyden,,https://www.goodreads.com/author/show/19705698.Anne_R_Boyden,4.30,680,514,2020-02-19 21:38:28.981955
634694,Kevin Kwan,,https://www.goodreads.com/author/show/634694.Kevin_Kwan,3.86,513072,44109,2020-02-19 21:38:29.908095
9325,Gertrude Stein,,https://www.goodreads.com/author/show/9325.Gertrude_Stein,3.61,25296,2203,2020-02-19 21:38:30.821034
874131,Tryno Maldonado,,https://www.goodreads.com/author/show/874131.Tryno_Maldonado,3.63,454,67,2020-02-19 21:38:31.815353
6552699,Yūsei Matsui,,https://www.goodreads.com/author/show/6552699.Y_sei_Matsui,4.34,50142,2803,2020-02-19 21:38:32.764901
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:38:33.764347
16591690,Sienna Blake,,https://www.goodreads.com/author/show/16591690.Sienna_Blake,4.22,7049,1236,2020-02-19 21:38:34.676342
874602,Ursula K. Le Guin,,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,4.05,929234,54339,2020-02-19 21:39:07.348611
7410834,Jennifer Rayes,,https://www.goodreads.com/author/show/7410834.Jennifer_Rayes,4.14,498,323,2020-02-19 21:39:08.314478
15149526,Trevor Noah,,https://www.goodreads.com/author/show/15149526.Trevor_Noah,4.46,286311,29041,2020-02-19 21:39:09.212183
19490084,Isla Olsen,,https://www.goodreads.com/author/show/19490084.Isla_Olsen,4.17,269,96,2020-02-19 21:39:10.153737
15139149,Á Lạp,,https://www.goodreads.com/author/show/15139149._L_p,4.57,7,2,2020-02-19 21:39:11.090052
1124669,Kao Kalia Yang,,https://www.goodreads.com/author/show/1124669.Kao_Kalia_Yang,4.20,7659,1260,2020-02-19 21:39:12.040982
6534710,Eden Summers,,https://www.goodreads.com/author/show/6534710.Eden_Summers,4.08,23133,3739,2020-02-19 21:39:13.000802
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:39:13.966407
8442873,Ammar Habib,,https://www.goodreads.com/author/show/8442873.Ammar_Habib,4.22,14398,2069,2020-02-19 21:39:14.876881
15755726,Chu Đình Tới,,https://www.goodreads.com/author/show/15755726.Chu_nh_T_i,4.11,122,33,2020-02-19 21:39:15.787879
15292,Rachel Caine,,https://www.goodreads.com/author/show/15292.Rachel_Caine,4.09,1004549,55658,2020-02-19 21:39:16.687687
9599,Paul Theroux,,https://www.goodreads.com/author/show/9599.Paul_Theroux,3.82,118275,9318,2020-02-19 21:39:17.575293
18064393,Sue Rainsford,,https://www.goodreads.com/author/show/18064393.Sue_Rainsford,3.78,993,310,2020-02-19 21:39:18.544649
19705698,Anne R. Boyden,,https://www.goodreads.com/author/show/19705698.Anne_R_Boyden,4.30,680,514,2020-02-19 21:39:19.520000
634694,Kevin Kwan,,https://www.goodreads.com/author/show/634694.Kevin_Kwan,3.86,513072,44109,2020-02-19 21:39:20.495502
9325,Gertrude Stein,,https://www.goodreads.com/author/show/9325.Gertrude_Stein,3.61,25296,2203,2020-02-19 21:39:21.453771
874131,Tryno Maldonado,,https://www.goodreads.com/author/show/874131.Tryno_Maldonado,3.63,454,67,2020-02-19 21:39:22.404611
6552699,Yūsei Matsui,,https://www.goodreads.com/author/show/6552699.Y_sei_Matsui,4.34,50142,2803,2020-02-19 21:39:23.299778
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:39:24.217727
16591690,Sienna Blake,,https://www.goodreads.com/author/show/16591690.Sienna_Blake,4.22,7049,1236,2020-02-19 21:39:25.242333
874602,Ursula K. Le Guin,,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,4.05,929234,54339,2020-02-19 21:39:57.618369
7410834,Jennifer Rayes,,https://www.goodreads.com/author/show/7410834.Jennifer_Rayes,4.14,498,323,2020-02-19 21:39:58.580270
15149526,Trevor Noah,,https://www.goodreads.com/author/show/15149526.Trevor_Noah,4.46,286311,29041,2020-02-19 21:39:59.453748
19490084,Isla Olsen,,https://www.goodreads.com/author/show/19490084.Isla_Olsen,4.17,269,96,2020-02-19 21:40:00.418892
15139149,Á Lạp,,https://www.goodreads.com/author/show/15139149._L_p,4.57,7,2,2020-02-19 21:40:01.347830
1124669,Kao Kalia Yang,,https://www.goodreads.com/author/show/1124669.Kao_Kalia_Yang,4.20,7659,1260,2020-02-19 21:40:02.313963
6534710,Eden Summers,,https://www.goodreads.com/author/show/6534710.Eden_Summers,4.08,23133,3739,2020-02-19 21:40:03.275256
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:40:04.271588
8442873,Ammar Habib,,https://www.goodreads.com/author/show/8442873.Ammar_Habib,4.22,14398,2069,2020-02-19 21:40:05.214667
15755726,Chu Đình Tới,,https://www.goodreads.com/author/show/15755726.Chu_nh_T_i,4.11,122,33,2020-02-19 21:40:06.154537
15292,Rachel Caine,,https://www.goodreads.com/author/show/15292.Rachel_Caine,4.09,1004549,55658,2020-02-19 21:40:07.074003
9599,Paul Theroux,,https://www.goodreads.com/author/show/9599.Paul_Theroux,3.82,118275,9318,2020-02-19 21:40:07.993283
18064393,Sue Rainsford,,https://www.goodreads.com/author/show/18064393.Sue_Rainsford,3.78,993,310,2020-02-19 21:40:08.945200
19705698,Anne R. Boyden,,https://www.goodreads.com/author/show/19705698.Anne_R_Boyden,4.30,680,514,2020-02-19 21:40:09.887003
634694,Kevin Kwan,,https://www.goodreads.com/author/show/634694.Kevin_Kwan,3.86,513072,44109,2020-02-19 21:40:10.831191
9325,Gertrude Stein,,https://www.goodreads.com/author/show/9325.Gertrude_Stein,3.61,25296,2203,2020-02-19 21:40:11.728444
874131,Tryno Maldonado,,https://www.goodreads.com/author/show/874131.Tryno_Maldonado,3.63,454,67,2020-02-19 21:40:12.653307
6552699,Yūsei Matsui,,https://www.goodreads.com/author/show/6552699.Y_sei_Matsui,4.34,50142,2803,2020-02-19 21:40:13.555288
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:40:14.514724
16591690,Sienna Blake,,https://www.goodreads.com/author/show/16591690.Sienna_Blake,4.22,7049,1236,2020-02-19 21:40:15.474922
874602,Ursula K. Le Guin,,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,4.05,929234,54339,2020-02-19 21:40:47.978541
7410834,Jennifer Rayes,,https://www.goodreads.com/author/show/7410834.Jennifer_Rayes,4.14,499,324,2020-02-19 21:40:48.936317
15149526,Trevor Noah,,https://www.goodreads.com/author/show/15149526.Trevor_Noah,4.46,286311,29041,2020-02-19 21:40:49.877330
19490084,Isla Olsen,,https://www.goodreads.com/author/show/19490084.Isla_Olsen,4.17,269,96,2020-02-19 21:40:50.875222
15139149,Á Lạp,,https://www.goodreads.com/author/show/15139149._L_p,4.57,7,2,2020-02-19 21:40:51.781628
1124669,Kao Kalia Yang,,https://www.goodreads.com/author/show/1124669.Kao_Kalia_Yang,4.20,7659,1260,2020-02-19 21:40:52.659957
6534710,Eden Summers,,https://www.goodreads.com/author/show/6534710.Eden_Summers,4.08,23133,3739,2020-02-19 21:40:53.628086
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:40:54.549562
8442873,Ammar Habib,,https://www.goodreads.com/author/show/8442873.Ammar_Habib,4.22,14398,2069,2020-02-19 21:40:55.455504
15755726,Chu Đình Tới,,https://www.goodreads.com/author/show/15755726.Chu_nh_T_i,4.11,122,33,2020-02-19 21:40:56.370175
15292,Rachel Caine,,https://www.goodreads.com/author/show/15292.Rachel_Caine,4.09,1004549,55658,2020-02-19 21:40:57.290581
9599,Paul Theroux,,https://www.goodreads.com/author/show/9599.Paul_Theroux,3.82,118275,9318,2020-02-19 21:40:58.192535
18064393,Sue Rainsford,,https://www.goodreads.com/author/show/18064393.Sue_Rainsford,3.78,993,310,2020-02-19 21:40:59.128270
19705698,Anne R. Boyden,,https://www.goodreads.com/author/show/19705698.Anne_R_Boyden,4.30,680,514,2020-02-19 21:41:00.054249
634694,Kevin Kwan,,https://www.goodreads.com/author/show/634694.Kevin_Kwan,3.86,513072,44109,2020-02-19 21:41:00.956836
9325,Gertrude Stein,,https://www.goodreads.com/author/show/9325.Gertrude_Stein,3.61,25296,2203,2020-02-19 21:41:01.902763
874131,Tryno Maldonado,,https://www.goodreads.com/author/show/874131.Tryno_Maldonado,3.63,454,67,2020-02-19 21:41:02.832388
6552699,Yūsei Matsui,,https://www.goodreads.com/author/show/6552699.Y_sei_Matsui,4.34,50142,2803,2020-02-19 21:41:04.038674
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:41:05.049079
16591690,Sienna Blake,,https://www.goodreads.com/author/show/16591690.Sienna_Blake,4.22,7049,1236,2020-02-19 21:41:05.995512
874602,Ursula K. Le Guin,,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,4.05,929234,54339,2020-02-19 21:41:38.313441
7410834,Jennifer Rayes,,https://www.goodreads.com/author/show/7410834.Jennifer_Rayes,4.14,499,324,2020-02-19 21:41:39.274565
15149526,Trevor Noah,,https://www.goodreads.com/author/show/15149526.Trevor_Noah,4.46,286311,29041,2020-02-19 21:41:40.197478
19490084,Isla Olsen,,https://www.goodreads.com/author/show/19490084.Isla_Olsen,4.17,269,96,2020-02-19 21:41:41.111512
15139149,Á Lạp,,https://www.goodreads.com/author/show/15139149._L_p,4.57,7,2,2020-02-19 21:41:42.039186
1124669,Kao Kalia Yang,,https://www.goodreads.com/author/show/1124669.Kao_Kalia_Yang,4.20,7659,1260,2020-02-19 21:41:42.985391
6534710,Eden Summers,,https://www.goodreads.com/author/show/6534710.Eden_Summers,4.08,23133,3739,2020-02-19 21:41:43.912121
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:41:44.899712
8442873,Ammar Habib,,https://www.goodreads.com/author/show/8442873.Ammar_Habib,4.22,14398,2069,2020-02-19 21:41:45.799595
15755726,Chu Đình Tới,,https://www.goodreads.com/author/show/15755726.Chu_nh_T_i,4.11,122,33,2020-02-19 21:41:46.735217
15292,Rachel Caine,,https://www.goodreads.com/author/show/15292.Rachel_Caine,4.09,1004549,55658,2020-02-19 21:41:47.658977
9599,Paul Theroux,,https://www.goodreads.com/author/show/9599.Paul_Theroux,3.82,118275,9318,2020-02-19 21:41:48.574397
18064393,Sue Rainsford,,https://www.goodreads.com/author/show/18064393.Sue_Rainsford,3.78,993,310,2020-02-19 21:41:49.477733
19705698,Anne R. Boyden,,https://www.goodreads.com/author/show/19705698.Anne_R_Boyden,4.30,680,514,2020-02-19 21:41:50.395669
634694,Kevin Kwan,,https://www.goodreads.com/author/show/634694.Kevin_Kwan,3.86,513072,44109,2020-02-19 21:41:51.296876
9325,Gertrude Stein,,https://www.goodreads.com/author/show/9325.Gertrude_Stein,3.61,25296,2203,2020-02-19 21:41:52.186241
874131,Tryno Maldonado,,https://www.goodreads.com/author/show/874131.Tryno_Maldonado,3.63,454,67,2020-02-19 21:41:53.116408
6552699,Yūsei Matsui,,https://www.goodreads.com/author/show/6552699.Y_sei_Matsui,4.34,50142,2803,2020-02-19 21:41:54.086748
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:41:55.077988
16591690,Sienna Blake,,https://www.goodreads.com/author/show/16591690.Sienna_Blake,4.22,7049,1236,2020-02-19 21:41:56.085419
874602,Ursula K. Le Guin,,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,4.05,929234,54339,2020-02-19 21:42:28.734675
7410834,Jennifer Rayes,,https://www.goodreads.com/author/show/7410834.Jennifer_Rayes,4.14,499,324,2020-02-19 21:42:29.648399
15149526,Trevor Noah,,https://www.goodreads.com/author/show/15149526.Trevor_Noah,4.46,286311,29041,2020-02-19 21:42:30.596652
19490084,Isla Olsen,,https://www.goodreads.com/author/show/19490084.Isla_Olsen,4.17,269,96,2020-02-19 21:42:31.527824
15139149,Á Lạp,,https://www.goodreads.com/author/show/15139149._L_p,4.57,7,2,2020-02-19 21:42:32.472175
1124669,Kao Kalia Yang,,https://www.goodreads.com/author/show/1124669.Kao_Kalia_Yang,4.20,7659,1260,2020-02-19 21:42:33.439361
6534710,Eden Summers,,https://www.goodreads.com/author/show/6534710.Eden_Summers,4.08,23133,3739,2020-02-19 21:42:34.405612
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:42:35.333982
8442873,Ammar Habib,,https://www.goodreads.com/author/show/8442873.Ammar_Habib,4.22,14398,2069,2020-02-19 21:42:36.405723
15755726,Chu Đình Tới,,https://www.goodreads.com/author/show/15755726.Chu_nh_T_i,4.11,122,33,2020-02-19 21:42:37.359865
15292,Rachel Caine,,https://www.goodreads.com/author/show/15292.Rachel_Caine,4.09,1004549,55658,2020-02-19 21:42:38.283438
9599,Paul Theroux,,https://www.goodreads.com/author/show/9599.Paul_Theroux,3.82,118275,9318,2020-02-19 21:42:39.257048
18064393,Sue Rainsford,,https://www.goodreads.com/author/show/18064393.Sue_Rainsford,3.78,993,310,2020-02-19 21:42:40.241857
19705698,Anne R. Boyden,,https://www.goodreads.com/author/show/19705698.Anne_R_Boyden,4.30,680,514,2020-02-19 21:42:41.216690
634694,Kevin Kwan,,https://www.goodreads.com/author/show/634694.Kevin_Kwan,3.86,513072,44109,2020-02-19 21:42:42.137782
9325,Gertrude Stein,,https://www.goodreads.com/author/show/9325.Gertrude_Stein,3.61,25296,2203,2020-02-19 21:42:43.039426
874131,Tryno Maldonado,,https://www.goodreads.com/author/show/874131.Tryno_Maldonado,3.63,454,67,2020-02-19 21:42:43.962327
6552699,Yūsei Matsui,,https://www.goodreads.com/author/show/6552699.Y_sei_Matsui,4.34,50142,2803,2020-02-19 21:42:44.886506
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:42:45.826018
16591690,Sienna Blake,,https://www.goodreads.com/author/show/16591690.Sienna_Blake,4.22,7049,1236,2020-02-19 21:42:46.793219
874602,Ursula K. Le Guin,,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,4.05,929234,54339,2020-02-19 21:43:19.411654
7410834,Jennifer Rayes,,https://www.goodreads.com/author/show/7410834.Jennifer_Rayes,4.14,499,324,2020-02-19 21:43:20.374058
15149526,Trevor Noah,,https://www.goodreads.com/author/show/15149526.Trevor_Noah,4.46,286311,29041,2020-02-19 21:43:21.303552
19490084,Isla Olsen,,https://www.goodreads.com/author/show/19490084.Isla_Olsen,4.17,269,96,2020-02-19 21:43:22.266100
15139149,Á Lạp,,https://www.goodreads.com/author/show/15139149._L_p,4.57,7,2,2020-02-19 21:43:23.168852
1124669,Kao Kalia Yang,,https://www.goodreads.com/author/show/1124669.Kao_Kalia_Yang,4.20,7659,1260,2020-02-19 21:43:24.084465
6534710,Eden Summers,,https://www.goodreads.com/author/show/6534710.Eden_Summers,4.08,23133,3739,2020-02-19 21:43:25.043196
585,John Steinbeck,,https://www.goodreads.com/author/show/585.John_Steinbeck,3.93,3539698,98634,2020-02-19 21:43:25.982382
8442873,Ammar Habib,,https://www.goodreads.com/author/show/8442873.Ammar_Habib,4.22,14398,2069,2020-02-19 21:43:26.932163
15755726,Chu Đình Tới,,https://www.goodreads.com/author/show/15755726.Chu_nh_T_i,4.11,122,33,2020-02-19 21:43:27.851953
15292,Rachel Caine,,https://www.goodreads.com/author/show/15292.Rachel_Caine,4.09,1004549,55658,2020-02-19 21:43:28.831800
9599,Paul Theroux,,https://www.goodreads.com/author/show/9599.Paul_Theroux,3.82,118275,9318,2020-02-19 21:43:29.778792
18064393,Sue Rainsford,,https://www.goodreads.com/author/show/18064393.Sue_Rainsford,3.78,993,310,2020-02-19 21:43:30.704974
19705698,Anne R. Boyden,,https://www.goodreads.com/author/show/19705698.Anne_R_Boyden,4.30,680,514,2020-02-19 21:43:31.685903
634694,Kevin Kwan,,https://www.goodreads.com/author/show/634694.Kevin_Kwan,3.86,513072,44109,2020-02-19 21:43:32.618178
