book_id,title,title_without_series,image_url,book_url,num_pages,format,edition_information,publisher,publication_day,publication_year,publication_month,average_rating,ratings_count,description,authors,published,record_create_timestamp
13667,"The Farthest Shore (Earthsea Cycle, #3)",The Farthest Shore,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/13667.The_Farthest_Shore,259,Paperback,,Gallery Books,1,2004,11,4.12,88271,"Book Three of Ursula K. Le Guin's Earthsea CycleDarkness threatens to overtake Earthsea: the world and its wizards are losing their magic. Despite being wearied with age, Ged Sparrowhawk -- Archmage, wizard, and dragonlord -- embarks on a daring, treacherous journey, accompanied by Enlad's young Prince Arren, to discover the reasons behind this devastating pattern of loss. Together they will sail to the farthest reaches of their world -- even beyond the realm of death -- as they seek to restore magic to a land desperately thirsty for it.With millions of copies sold worldwide, Ursula K. Le Guin's Earthsea Cycle has earned a treasured place on the shelves of fantasy lovers everywhere, alongside the works of such beloved authors as J. R. R. Tolkien and C. S. Lewis.",874602,2004,2020-02-19 21:38:16.690535
47769549,"Intricate Obsessions (Intricate, #3)",Intricate Obsessions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565885727l/47769549._SX98_.jpg,https://www.goodreads.com/book/show/47769549-intricate-obsessions,232,Paperback,,Independently Published,6,2019,8,4.34,87,"Gaia and Raoul have recovered from the poisoning, but the assassination attempt has fractured their relationship beyond repair. Dominique has lost his mother, his crew, and his purpose, and is trying not to lose his sister, while playing a dangerous game with the Governor. Salim has confessed his treason and has threatened to eradicate Kayamato with the release of a deadly disease, unless he's given reigning power. Beneath it all, Antione's obsession simmers as he moves his final pieces into place. Will the players be able to fight their individual threats by coming together, or will they be picked off, one at a time, one after the other?",7410834,2019,2020-02-19 21:38:17.861647
29780253,Born a Crime: Stories From a South African Childhood,Born a Crime: Stories From a South African Childhood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473867911l/29780253._SX98_.jpg,https://www.goodreads.com/book/show/29780253-born-a-crime,285,Hardcover,,Doubleday Canada,15,2016,11,4.46,284432,"The compelling, inspiring, and comically sublime New York Times bestseller about one man’s coming-of-age, set during the twilight of apartheid and the tumultuous days of freedom that followed. Trevor Noah’s unlikely path from apartheid South Africa to the desk of The Daily Show began with a criminal act: his birth. Trevor was born to a white Swiss father and a black Xhosa mother at a time when such a union was punishable by five years in prison. Living proof of his parents’ indiscretion, Trevor was kept mostly indoors for the earliest years of his life, bound by the extreme and often absurd measures his mother took to hide him from a government that could, at any moment, steal him away. Finally liberated by the end of South Africa’s tyrannical white rule, Trevor and his mother set forth on a grand adventure, living openly and freely and embracing the opportunities won by a centuries-long struggle. Born a Crime is the story of a mischievous young boy who grows into a restless young man as he struggles to find himself in a world where he was never supposed to exist. It is also the story of that young man’s relationship with his fearless, rebellious, and fervently religious mother—his teammate, a woman determined to save her son from the cycle of poverty, violence, and abuse that would ultimately threaten her own life. The eighteen personal essays collected here are by turns hilarious, dramatic, and deeply affecting. Whether subsisting on caterpillars for dinner during hard times, being thrown from a moving car during an attempted kidnapping, or just trying to survive the life-and-death pitfalls of dating in high school, Trevor illuminates his curious world with an incisive wit and unflinching honesty. His stories weave together to form a moving and searingly funny portrait of a boy making his way through a damaged world in a dangerous time, armed only with a keen sense of humor and a mother’s unconventional, unconditional love.Source: penguinrandomhouse.ca",15149526,2016,2020-02-19 21:38:18.791891
51057368,Fake It 'til You Make Out (Love & Luck #1),Fake It 'til You Make Out,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/51057368-fake-it-til-you-make-out,,,,,,,,4.15,262,"Heath It’s a classic story: Boy meets girl, girl breaks boy’s heart, boy pretends to be gay to get back at girl, girl outs boy to everyone on Facebook… Okay, maybe it’s not that classic. But it’s what happened to me. When I bump into my cheating ex and catch sight of the moon-sized rock on her finger, there’s only one option to save face: pretend to be dating my gay best friend, Declan. And when she outs me on Facebook and everyone I know sees it, there’s still only one option: keep pretending to be dating Declan. And when Declan and I have to kiss to keep up the ruse and it turns out there’s actually a spark between us (more like a blazing inferno, if truth be told) there’s once again only one option… Warning: this book is not appropriate for anyone who doesn’t like laughing, anyone who doesn’t like dogs, or anyone who doesn’t like hot men having a lot of sex…with each other. *Happily Ever After included",19490084,,2020-02-19 21:38:19.719609
34747990,Bugcat-Capoo,Bugcat-Capoo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491051665l/34747990._SX98_.jpg,https://www.goodreads.com/book/show/34747990-bugcat-capoo,,ebook,,,,2015,,4.50,6,"Like a cat, like a bug, this cute and scary story of Capoo will heal your heart, and eat all your meat. A heartwarming comedy of its daily life begins! First place in 2015 LINE Webtoon original comic competition, short comic category, Taiwan region.",15139149,2015,2020-02-19 21:38:20.625107
43272260,A Map Into the World,A Map Into the World,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563395342l/43272260._SX98_.jpg,https://www.goodreads.com/book/show/43272260-a-map-into-the-world,32,Hardcover,,Carolrhoda Books (R),1,2019,10,4.37,301,"A story of a young girl seeking beauty and connection in a busy world. As the seasons change, so too does a young Hmong girl's world. She moves into a new home with her family and encounters both birth and death. As this curious girl explores life inside her house and beyond, she collects bits of the natural world. But who are her treasures for?",1124669,2019,2020-02-19 21:38:21.532605
23454554,"A Shot of Sin (Vault of Sin, #1)",A Shot of Sin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489461963l/23454554._SX98_.jpg,https://www.goodreads.com/book/show/23454554-a-shot-of-sin,226,Paperback,,Eden Summers,13,2015,1,3.93,1436,"Throw back a shot of pure sin. Leo Petrova has a dirty secret that’s about to get blown wide open. The exclusive VIP area hidden beneath his night club, Shot of Sin, is short staffed a bartender. The only available replacement is Shay—his temptation, his distraction—the sole woman he refuses to escort down the secret staircase. She has no clue about the private adult club that lies beneath her feet and he’d prefer to keep it that way. The Vault of Sin is the only place he can let his sexual proclivities run wild and he’s learned the hard way that Shay is too virtuous to be comfortable in the erotic environment.Shay Porter is curious as to why her boss, the king of mixed messages, seems almost desperate to keep her from discovering what’s on the other side of the guarded door at the back of the building. But she’s never backed down from a challenge before. Sliding into Leo’s arms and this new world of carnal exploration is addictive yet frightening. She could lose her job, her self-respect, and her heart.Exposing a vanilla woman to a sorbet lifestyle isn’t something Leo’s business partners approve of. Secrets are at stake. Friendships, too. And through it all, neither one of them can ignore the wicked taste of sin threatening to tear it all apart. Warning: This sex club does not carry the government’s stamp of approval. Contains devilish debauchery, delightful deviance, and dancing on the edge of the darkest of sexual desires. Please note: This book was previously released by Samhain Publishing. This new edition contains a few slight tweaks as well as a new setting for the series.",6534710,2015,2020-02-19 21:38:22.494633
4799,Cannery Row,Cannery Row,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/4799.Cannery_Row,181,Paperback,,Penguin Books,5,2002,2,4.04,106888,"Cannery Row is a book without much of a plot. Rather, it is an attempt to capture the feeling and people of a place, the cannery district of Monterey, California, which is populated by a mix of those down on their luck and those who choose for other reasons not to live ""up the hill"" in the more respectable area of town. The flow of the main plot is frequently interrupted by short vignettes that introduce us to various denizens of the Row, most of whom are not directly connected with the central story. These vignettes are often characterized by direct or indirect reference to extreme violence: suicides, corpses, and the cruelty of the natural world.The ""story"" of Cannery Row follows the adventures of Mack and the boys, a group of unemployed yet resourceful men who inhabit a converted fish-meal shack on the edge of a vacant lot down on the Row.Sweet Thursday is the sequel to Cannery Row.",585,2002,2020-02-19 21:38:23.372978
51411855,Mary E. Walker: America's Only Female Medal of Honor Recipient,Mary E. Walker: America's Only Female Medal of Honor Recipient,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581995068l/51411855._SX98_.jpg,https://www.goodreads.com/book/show/51411855-mary-e-walker,324,,,A. H. Press,8,2020,5,4.44,130,"In the history of America, only one woman has ever received the Medal of Honor: Dr. Mary Edwards Walker. However, Mary’s life was more than just a medal. Not only was Mary a leading suffragist, the first female surgeon to serve in the United States Army, and an advocate of women’s dress reform, she was a woman who put the lives of others before hers. She sacrificed her personal happiness, her comforts, and her reputation in order to fight for the ideals she believed in, both during and after her service in the American Civil War. Mary was a nonconformist in every way, refusing to bow down to society’s establishments. When society towered above her, demanding her to surrender, Mary planted herself like a tree and stood her ground. Mary’s life is a testament to the idea of selflessness. Today, many Americans stand on her shoulders.This book is more than a simple biography of Mary's life. Instead, this book seeks to understand the woman behind the medal. It seeks to discover the core of Mary's being and the inspirations that turned her into who she was. People may know Dr. Walker. The question is: who was Mary?",8442873,2020,2020-02-19 21:38:24.295568
33952116,Tôi Đã Đi Du Học Bằng Học Bổng Như Thế Nào?,Tôi Đã Đi Du Học Bằng Học Bổng Như Thế Nào?,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484880628l/33952116._SX98_.jpg,https://www.goodreads.com/book/show/33952116-t-i-i-du-h-c-b-ng-h-c-b-ng-nh-th-n-o,211,Paperback,,Alphabooks,,2016,7,4.19,59,"Xuất phát điểm là học sinh nông thôn, điều kiện học ngoại ngữ không có. Nhưng tác giả không ngừng nỗ lực học hỏi, trau dồi kiến thức để hiện thực hóa giấc mơ du học của chính mình. Cũng như cố gắng phấn đấu để sự nghiệp nghiên cứu của bản thân ngày càng hữu ích hơn và ngày càng tốt hơn.Cuốn sách viết về hành trình gian nan của chính tác giả để chinh phục các học bổng ở nhiều nước khác nhau, cũng như quá trình thay đổi bản thân, thích nghi được với mọi hoàn cảnh, môi trường, văn hóa khác nhau như Hàn Quốc, Nhật Bản…",15755726,2016,2020-02-19 21:38:25.203875
